dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Normal 50,5 - 35,65",4,7,black_box,22132.72757520371,25494.499057388293,22287.898229913215,22190.48586067579,22143.0629654668,25494.499057388293,22830.416831018676,22803.47996274726,25499.110969383884,22846.479172228537,22819.94924051917,21621.2477858386,22103.932021816494,21609.983376242162,92.43899989128113
"Normal 50,5 - 35,65",4,7,ls_independent,22132.72757520371,25494.499057388293,22287.898229913215,22156.584707771937,22143.0629654668,25494.499057388293,22830.416831018676,22800.767773507945,25499.110969383884,22846.479172228537,22815.867465045972,21621.2477858386,22103.932021816494,21609.983376242162,51.05399990081787
"Normal 50,5 - 35,65",4,7,ls_dependent,22132.72757520371,25494.499057388293,22287.898229913215,22153.981568917414,22143.0629654668,25494.499057388293,22830.416831018676,22800.761001684696,25499.110969383884,22846.479172228537,22815.826139599783,21621.2477858386,22103.932021816494,21609.983376242162,79.2979998588562
"Normal 50,5 - 35,65",4,8,black_box,22132.72757520371,25494.499057388293,22143.0629654668,22148.082709472197,22143.0629654668,25494.499057388293,22827.289112813734,22803.436785279173,25499.110969383884,22842.41459289353,22820.32692898635,21621.2477858386,22103.932021816494,21609.983376242162,115.22699999809265
"Normal 50,5 - 35,65",4,8,ls_independent,22132.72757520371,25494.499057388293,22143.0629654668,22156.627049176175,22143.0629654668,25494.499057388293,22827.289112813734,22801.32144295918,25499.110969383884,22842.41459289353,22816.853960538305,21621.2477858386,22103.932021816494,21609.983376242162,56.325000047683716
"Normal 50,5 - 35,65",4,8,ls_dependent,22132.72757520371,25494.499057388293,22143.0629654668,22156.627049176175,22143.0629654668,25494.499057388293,22827.289112813734,22801.321442959175,25499.110969383884,22842.41459289353,22816.853960538294,21621.2477858386,22103.932021816494,21609.983376242162,43.007999897003174
"Normal 50,5 - 35,65",4,9,black_box,22132.72757520371,25494.499057388293,22220.4246442452,22150.119083198715,22143.0629654668,25494.499057388293,22810.174680520788,22803.18690165956,25499.110969383884,22826.72970489118,22818.2695519368,21621.2477858386,22103.932021816494,21609.983376242162,141.79099988937378
"Normal 50,5 - 35,65",4,9,ls_independent,22132.72757520371,25494.499057388293,22220.4246442452,22157.703115248165,22143.0629654668,25494.499057388293,22810.174680520788,22800.709606196528,25499.110969383884,22826.72970489118,22816.19778999852,21621.2477858386,22103.932021816494,21609.983376242162,84.54100012779236
"Normal 50,5 - 35,65",4,9,ls_dependent,22132.72757520371,25494.499057388293,22220.4246442452,22157.703115248165,22143.0629654668,25494.499057388293,22810.174680520788,22800.709606196528,25499.110969383884,22826.72970489118,22816.19778999852,21621.2477858386,22103.932021816494,21609.983376242162,62.94099998474121
"Normal 50,5 - 35,65",4,10,black_box,22132.72757520371,25494.499057388293,22143.0629654668,22146.43521621051,22143.0629654668,25494.499057388293,22826.64387117052,22801.812714038548,25499.110969383884,22841.89011407514,22817.253380340037,21621.2477858386,22103.932021816494,21609.983376242162,176.94700002670288
"Normal 50,5 - 35,65",4,10,ls_independent,22132.72757520371,25494.499057388293,22143.0629654668,22157.74449979538,22143.0629654668,25494.499057388293,22826.64387117052,22800.03865375549,25499.110969383884,22841.89011407514,22815.811605826133,21621.2477858386,22103.932021816494,21609.983376242162,113.45400023460388
"Normal 50,5 - 35,65",4,10,ls_dependent,22132.72757520371,25494.499057388293,22143.0629654668,22157.74449979538,22143.0629654668,25494.499057388293,22826.64387117052,22800.03865375549,25499.110969383884,22841.89011407514,22815.811605826133,21621.2477858386,22103.932021816494,21609.983376242162,86.6579999923706
"Unif 10,90",5,2,black_box,24052.297330773545,31894.72570254667,24078.008524173605,24233.439003336,24057.57299833895,32051.005972943112,27360.14601860299,27389.81392484158,32026.0367485237,27264.648879503144,27299.08542153145,21648.25486418831,24848.673175325046,21713.073799881902,9.611000061035156
"Unif 10,90",5,2,ls_independent,24052.297330773545,31894.72570254667,24078.008524173605,24117.292019547232,24057.57299833895,32051.005972943112,27360.14601860299,27329.086362777725,32026.0367485237,27264.648879503144,27233.840612196625,21648.25486418831,24848.673175325046,21713.073799881902,1.7889997959136963
"Unif 10,90",5,2,ls_dependent,24052.297330773545,31894.72570254667,24078.008524173605,24117.292019547232,24057.57299833895,32051.005972943112,27360.14601860299,27329.08636277772,32026.0367485237,27264.648879503144,27233.840612196625,21648.25486418831,24848.673175325046,21713.073799881902,1.1410000324249268
"Unif 10,90",5,3,black_box,24052.297330773545,31894.72570254667,25395.864382105497,24064.754998607405,24057.57299833895,32051.005972943112,27670.80496806204,27368.167948347553,32026.0367485237,27589.68374771979,27269.53783013925,21648.25486418831,24848.673175325046,21713.073799881902,18.087000131607056
"Unif 10,90",5,3,ls_independent,24052.297330773545,31894.72570254667,25395.864382105497,24080.75702292783,24057.57299833895,32051.005972943112,27670.80496806204,27315.147430875295,32026.0367485237,27589.68374771979,27219.152474340477,21648.25486418831,24848.673175325046,21713.073799881902,5.08299994468689
"Unif 10,90",5,3,ls_dependent,24052.297330773545,31894.72570254667,25395.864382105497,24080.75702292783,24057.57299833895,32051.005972943112,27670.80496806204,27315.147430875295,32026.0367485237,27589.68374771979,27219.152474340477,21648.25486418831,24848.673175325046,21713.073799881902,2.996000051498413
"Unif 10,90",5,4,black_box,24052.297330773545,31894.72570254667,24055.26644499895,24065.084704724315,24057.57299833895,32051.005972943112,27340.986772852302,27323.617634467308,32026.0367485237,27246.253549421184,27228.215153643432,21648.25486418831,24848.673175325046,21713.073799881902,26.967000007629395
